Commune,Day,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,ZIP_code,Population,Households,Tram_Stations,Primary_Roads,Secondary_Roads,Avg_Distance_km,Type_Jour
Echchallalate,Monday,12.583,12.583,12.583,10.2,10.2,10.2,10.2,10.2,10.2,10.1,10.15,10.033,10.183,10.2,10.2,10.233,10.2,10.333,10.3,10.45,10.217,10.283,10.25,10.2,28822,153118.0,27433.0,0,6,2,10.511708333333331,Semaine
Sidi Maarouf,Monday,11.9,12.133,11.917,13.75,13.45,13.217,13.283,12.4,15.0,15.0,12.75,13.25,12.283,12.967,11.867,12.783,13.35,15.0,15.0,13.35,12.283,12.133,11.883,12.25,20192,30627.0,5711.5712890625,0,12,11,13.04995833333333,Semaine
Anfa,Monday,13.317,12.8,12.35,11.8,12.917,12.733,13.0,12.767,13.45,12.7,13.233,13.967,15.0,12.983,13.85,13.917,15.0,15.0,15.0,15.0,14.833,13.45,11.767,12.483,20040,118056.8828125,22528.076171875,8,143,154,13.471541666666667,Semaine
Assoukhour Assawda,Monday,4.85,4.85,4.85,6.167,6.167,6.167,6.167,6.167,6.167,6.133,6.15,6.167,6.167,6.167,6.017,6.167,6.167,7.1,6.167,6.15,6.15,6.15,6.15,6.167,20320,120479.875,24751.125,12,64,75,6.030041666666668,Semaine
Ben Msick,Monday,4.217,4.233,4.233,4.883,4.867,4.783,4.867,4.817,4.833,5.583,4.9,5.15,4.5,4.817,5.167,4.8,5.033,4.8,4.983,4.233,4.4,4.35,4.417,4.883,20023,134933.8125,22787.908203125,0,10,26,4.739541666666667,Semaine
Bou Chentouf,Monday,4.833,4.817,4.9,5.55,5.567,5.567,5.55,5.417,5.283,5.8,6.183,5.65,6.65,5.9,5.767,5.95,5.817,6.533,5.55,6.3,5.583,5.233,5.3,5.267,20500,165442.671875,32743.0,0,16,55,5.6236250000000005,Semaine
El Maarif,Monday,3.583,4.067,3.75,4.933,4.133,5.0,4.85,4.467,5.617,6.5,4.567,4.967,5.3,4.767,4.817,4.867,5.45,5.167,5.183,5.1,4.65,4.483,4.833,4.3,20390,184958.09375,36683.28515625,24,111,131,4.806291666666666,Semaine
El Maarif,Monday,3.05,2.583,3.2,3.217,4.183,4.017,4.083,4.167,4.7,4.367,4.6,4.033,4.617,3.983,4.85,3.9,4.283,5.617,5.0,4.967,4.133,3.333,3.95,3.783,20390,184958.09375,36683.28515625,24,111,131,4.109,Semaine
El Maarif,Monday,7.333,7.65,7.4,8.95,9.65,9.833,9.8,9.517,9.283,8.167,8.05,9.533,9.233,7.9,9.233,9.167,11.1,10.667,11.3,9.85,8.817,8.433,7.383,7.317,20390,184958.09375,36683.28515625,24,111,131,8.981916666666669,Semaine
El Maarif,Monday,5.283,5.8,6.233,7.333,8.533,8.7,8.667,8.9,9.033,10.3,8.3,9.1,8.283,7.75,8.767,8.567,8.767,8.983,9.85,11.0,8.567,8.533,7.867,6.967,20390,184958.09375,36683.28515625,24,111,131,8.336791666666665,Semaine
El Maarif,Monday,6.017,6.417,6.233,7.8,8.45,9.783,9.0,9.3,10.083,8.183,9.483,9.1,9.983,10.233,7.667,8.583,9.8,11.817,15.0,10.983,7.767,9.0,6.633,6.3,20390,184958.09375,36683.28515625,24,111,131,8.900625000000002,Semaine
El Maarif,Monday,6.7,5.917,6.633,8.333,8.917,9.483,9.533,9.617,10.35,9.083,10.25,9.183,9.6,9.8,8.5,9.017,10.317,13.4,13.617,10.267,8.683,8.3,7.167,7.167,20390,184958.09375,36683.28515625,24,111,131,9.15975,Semaine
El Maarif,Monday,10.367,9.85,11.067,13.65,14.633,15.0,14.883,15.0,15.0,13.067,13.6,15.0,15.0,15.0,13.233,14.133,15.0,15.0,15.0,15.0,13.833,14.583,11.033,11.883,20390,184958.09375,36683.28515625,24,111,131,13.742291666666668,Semaine
El Maarif,Monday,9.567,9.1,9.517,12.817,13.017,13.95,13.867,13.867,15.0,14.617,14.417,13.933,13.75,14.6,12.283,13.367,14.883,15.0,15.0,15.0,13.283,13.2,11.15,10.733,20390,184958.09375,36683.28515625,24,111,131,13.16325,Semaine
El Maarif,Monday,5.1,5.617,4.317,6.417,6.45,7.167,6.65,6.017,4.917,5.933,5.75,6.817,6.483,5.567,5.333,5.567,6.733,4.867,8.883,7.117,5.383,5.233,5.183,3.417,20390,184958.09375,36683.28515625,24,111,131,5.8715833333333345,Semaine
El Maarif,Monday,8.817,9.617,8.75,11.383,10.933,12.183,11.467,10.417,10.567,12.133,10.45,11.75,12.267,10.383,10.183,11.117,12.383,10.25,12.083,12.6,10.2,10.767,10.2,7.667,20390,184958.09375,36683.28515625,24,111,131,10.773624999999997,Semaine
El Maarif,Monday,8.05,6.833,9.033,10.933,11.117,11.5,11.283,11.7,10.483,9.967,9.583,9.567,12.6,9.133,9.583,11.133,10.967,10.517,12.45,9.633,9.9,10.183,7.65,8.133,20390,184958.09375,36683.28515625,24,111,131,10.080458333333334,Semaine
El Maarif,Monday,7.4,7.6,7.5,8.467,10.95,8.833,8.85,10.867,11.017,9.0,8.35,10.567,8.65,8.317,8.7,9.817,9.117,9.917,11.033,10.933,9.633,9.4,8.633,8.3,20390,184958.09375,36683.28515625,24,111,131,9.243791666666667,Semaine
